codigo_sku,nome_projeto,segmentacao_prioridade,estoque_atual,consumo_medio_diario,cobertura_dias,acao_ressuprimento,sinal_redistribuicao
EPI0505,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0505,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0505,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0505,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0505,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0505,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0506,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0507,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0508,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0508,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0508,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0508,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0508,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0508,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0508,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0508,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0508,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0509,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0509,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0509,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0509,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0509,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0509,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0509,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0509,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0509,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0510,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0510,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0510,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0510,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0510,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0510,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0510,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0511,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0511,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0511,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0511,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0511,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0511,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0511,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0511,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0511,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0512,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0512,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0512,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0512,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0512,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0512,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0512,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0512,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0513,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0513,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0513,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0513,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0513,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0513,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0513,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0513,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0513,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0514,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0514,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0514,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0514,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0514,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0514,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0514,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0514,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0515,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0515,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0515,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0515,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0515,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0515,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0515,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0515,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0516,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0516,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0516,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0516,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0516,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0516,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0516,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0516,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0519,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0519,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0519,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0519,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0519,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0519,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0519,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0519,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0520,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0520,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0520,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0520,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0520,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0520,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0520,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0520,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0520,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0521,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0521,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0521,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0521,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0521,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0521,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0521,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0521,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0521,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0522,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0523,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0524,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0524,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0524,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0524,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0524,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0524,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0524,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0524,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0524,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0525,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0525,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0525,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0525,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0525,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0525,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0525,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0525,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0525,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0526,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0526,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0526,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0526,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0526,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0526,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0526,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0526,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0527,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0527,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0527,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0527,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0527,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0527,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0527,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0527,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0527,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0528,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0528,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0528,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0528,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0528,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0528,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0528,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0528,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0528,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0529,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0529,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0529,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0529,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0529,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0529,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0529,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0529,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0529,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0530,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0530,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0530,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0530,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0530,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0530,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0530,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0530,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0531,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0531,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0531,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0531,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0531,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0531,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0531,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0531,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0531,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0532,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0532,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0532,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0532,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0533,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0533,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0533,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0533,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0533,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0533,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0533,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0533,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0533,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0534,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0535,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0535,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0537,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0537,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0537,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0537,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0540,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0540,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0540,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0540,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0540,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0541,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0541,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0541,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0541,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0541,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0541,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0541,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0547,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0547,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0554,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0555,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0555,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0555,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0555,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0555,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0555,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0555,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0555,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0555,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0556,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0556,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0556,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0556,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0556,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0556,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0556,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0556,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0556,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0558,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0558,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0558,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0558,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0558,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0560,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0560,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0560,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0560,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0561,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0561,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0563,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0565,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0565,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0565,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0565,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0566,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0566,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0567,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0569,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0570,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0570,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0570,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0570,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0571,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0571,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0571,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0571,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0571,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0571,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0571,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0571,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0571,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0572,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0575,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0577,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0577,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0578,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0579,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0581,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0581,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0581,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0581,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0581,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0581,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0581,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0581,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0581,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0585,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0585,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0585,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0585,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0585,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0585,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0585,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0587,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0587,BikeBSB,sem segmentacao,0,26,0,ressuprimento imediato,sem oportunidade clara
EPI0587,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0587,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0587,BikePE,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0587,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0587,BikeRio,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0587,BikeSSA,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0587,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0588,BikePoa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0589,BikeSampa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0591,BikeBH,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0591,BikeBSB,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0591,BikeCuritiba,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
EPI0591,BikeFloripa,sem segmentacao,0,0,,ressuprimento imediato,sem oportunidade clara
