codigo_sku,nome_projeto,segmentacao_prioridade,estoque_atual,consumo_medio_diario,cobertura_dias,acao_ressuprimento,sinal_redistribuicao
BBET0079,BikeBH,D,45,1,45,estoque saudavel,sem oportunidade clara
BEFI0007,BikeSampa,D,22,"1,33","16,5",estoque saudavel,sem oportunidade clara
BEFI0009,BikeRio,D,44,1,44,estoque saudavel,sem oportunidade clara
BEFI0009,BikeSampa,D,79,"2,67","29,62",estoque saudavel,sem oportunidade clara
BEFI0026,BikeSampa,D,295,11,"26,82",estoque saudavel,sem oportunidade clara
BEFI0028,BikeSampa,D,38,1,38,estoque saudavel,sem oportunidade clara
BEFI0125,BikeRio,D,276,"7,83","35,23",estoque saudavel,sem oportunidade clara
BEFN0010,BikeRio,D,51,2,"25,5",estoque saudavel,sem oportunidade clara
BOKI0099,BikeSSA,D,23,1,23,estoque saudavel,sem oportunidade clara
BOKI0122,BikeSSA,D,22,1,22,estoque saudavel,sem oportunidade clara
BOKI0123,BikeSSA,D,21,1,21,estoque saudavel,sem oportunidade clara
BOKI0212,BikeSSA,D,44,1,44,estoque saudavel,sem oportunidade clara
BTB0031,BikeRio,D,79,5,"15,8",estoque saudavel,sem oportunidade clara
BTB0080N,BikeRio,D,719,"20,6","34,9",estoque saudavel,sem oportunidade clara
BBTI0099,BikeSampa,sem segmentacao,86,3,"28,67",estoque saudavel,sem oportunidade clara
BCB0086,BikePE,sem segmentacao,277,15,"18,47",estoque saudavel,sem oportunidade clara
BCB0086,BikeSSA,sem segmentacao,220,"12,5","17,6",estoque saudavel,sem oportunidade clara
BCB0123-1,BikeRio,sem segmentacao,17,1,17,estoque saudavel,sem oportunidade clara
BCB0123-1,BikeSampa,sem segmentacao,26,"1,33","19,5",estoque saudavel,sem oportunidade clara
BCB0289-1,BikeSSA,sem segmentacao,21,1,21,estoque saudavel,sem oportunidade clara
BEFN0034,BikeRio,sem segmentacao,20,1,20,estoque saudavel,sem oportunidade clara
BII0049,BikeCuritiba,sem segmentacao,73,"3,25","22,46",estoque saudavel,sem oportunidade clara
BOKI0007,BikeSSA,sem segmentacao,17,1,17,estoque saudavel,sem oportunidade clara
BOKI0167,BikeSSA,sem segmentacao,44,1,44,estoque saudavel,sem oportunidade clara
BPN0140,BikeCuritiba,sem segmentacao,103,"6,78","15,2",estoque saudavel,sem oportunidade clara
BSI0007-1,BikeRio,sem segmentacao,455,20,"22,75",estoque saudavel,sem oportunidade clara
BSI0007-1,BikeSampa,sem segmentacao,425,25,17,estoque saudavel,sem oportunidade clara
BSN0001,BikeFloripa,sem segmentacao,252,"6,75","37,33",estoque saudavel,sem oportunidade clara
BSN0007,BikeCuritiba,sem segmentacao,28,1,28,estoque saudavel,sem oportunidade clara
