codigo_sku,nome_projeto,segmentacao_prioridade,dias_com_ruptura,taxa_ruptura,primeira_data_ruptura,ultima_data_ruptura,qte_eventos_ruptura,status_ultimo_dia
ETB0342,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1172,BikeCuritiba,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0366,BikeCuritiba,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BII0047,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FCB0079,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FCB0158,BikeBH,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
SE10052,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0281,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1011,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0198,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BOKI0178,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0073,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BPN0029,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ECB0203,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BBTN0002-5,BikeCuritiba,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0020,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
MCB0012,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BSN0100,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BBTN0012,BikeSampa,A,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0076,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1949,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0227,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1935,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0262,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1367,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0702,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1333,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0340,BikeCuritiba,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1314,BikeCuritiba,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BBN0024,BikeCuritiba,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1302,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0524,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BD001,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BTB0032-7,BikeRio,A,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1277,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ETB0012N-1,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1265,BikeCuritiba,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0026,BikeCuritiba,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1252,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0007,BikeBH,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1241,BikeBH,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1233,BikeBH,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1230,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FTB0315,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1212,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
