codigo,segmentacao,projeto,ingestion_date
BEFN0107-2,B,riviera,2026-02-11
BEFN0107-2,B,riviera,2026-02-21
BEFN0107-2,B,riviera,2026-02-12
BEFN0107-2,B,riviera,2026-02-10
BEFN0107-2,B,riviera,2026-02-14
BEFN0107-2,B,riviera,2026-02-15
BEFN0107-2,B,riviera,2026-02-16
BEFN0107-2,B,riviera,2026-02-22
BEFN0110-1,B,riviera,2026-02-09
BEFN0110-1,B,riviera,2026-02-22
BEFN0110-1,B,riviera,2026-02-08
BEFN0110-1,B,riviera,2026-02-19
BEFN0110-1,B,riviera,2026-02-07
BEFN0110-1,B,riviera,2026-02-15
BEFN0110-1,B,riviera,2026-02-17
BEFN0110-1,B,riviera,2026-02-10
BEFN0110-1,B,riviera,2026-02-14
BEFN0110-1,B,riviera,2026-02-23
BEFN0110-1,B,riviera,2026-02-12
BEFN0110-1,B,riviera,2026-02-20
BEFN0110-1,B,riviera,2026-02-13
BEFN0110-1,B,riviera,2026-02-11
BEFN0110-1,B,riviera,2026-02-21
BEFN0110-1,B,riviera,2026-02-16
BEFN0110-1,B,riviera,2026-02-18
BEFN0111-1,B,riviera,2026-02-22
BEFN0111-1,B,riviera,2026-02-20
BEFN0111-1,B,riviera,2026-02-19
BEFN0111-1,B,riviera,2026-02-11
BEFN0111-1,B,riviera,2026-02-14
BEFN0111-1,B,riviera,2026-02-09
BEFN0111-1,B,riviera,2026-02-10
BEFN0111-1,B,riviera,2026-02-18
BEFN0111-1,B,riviera,2026-02-12
BEFN0111-1,B,riviera,2026-02-15
BEFN0111-1,B,riviera,2026-02-16
BEFN0111-1,B,riviera,2026-02-17
BEFN0111-1,B,riviera,2026-02-23
BEFN0111-1,B,riviera,2026-02-07
BEFN0111-1,B,riviera,2026-02-21
BEFN0111-1,B,riviera,2026-02-13
BEFN0111-1,B,riviera,2026-02-08
BEFN0111-2,B,riviera,2026-02-17
BEFN0111-2,B,riviera,2026-02-11
BEFN0111-2,B,riviera,2026-02-15
BEFN0111-2,B,riviera,2026-02-12
BEFN0111-2,B,riviera,2026-02-21
BEFN0111-2,B,riviera,2026-02-13
BEFN0111-2,B,riviera,2026-02-22
BEFN0111-2,B,riviera,2026-02-14
BEFN0111-2,B,riviera,2026-02-20
BEFN0111-2,B,riviera,2026-02-19
BEFN0111-2,B,riviera,2026-02-23
BEFN0111-2,B,riviera,2026-02-18
BEFN0111-2,B,riviera,2026-02-16
BEFN0111-2,B,riviera,2026-02-09
BEFN0111-2,B,riviera,2026-02-10
BEFN0111-2,B,riviera,2026-02-07
BEFN0111-2,B,riviera,2026-02-08
BEFN0112-1,B,riviera,2026-02-11
BEFN0112-1,B,riviera,2026-02-20
BEFN0112-1,B,riviera,2026-02-12
BEFN0112-1,B,riviera,2026-02-21
BEFN0112-1,B,riviera,2026-02-17
BEFN0112-1,B,riviera,2026-02-09
BEFN0112-1,B,riviera,2026-02-22
BEFN0112-1,B,riviera,2026-02-14
BEFN0112-1,B,riviera,2026-02-08
BEFN0112-1,B,riviera,2026-02-23
BEFN0112-1,B,riviera,2026-02-19
BEFN0112-1,B,riviera,2026-02-15
BEFN0112-1,B,riviera,2026-02-16
BEFN0112-1,B,riviera,2026-02-10
BEFN0112-1,B,riviera,2026-02-07
BEFN0112-1,B,riviera,2026-02-18
BEFN0112-1,B,riviera,2026-02-13
BEFN0112-2,B,riviera,2026-02-16
BEFN0112-2,B,riviera,2026-02-18
BEFN0112-2,B,riviera,2026-02-13
BEFN0112-2,B,riviera,2026-02-19
BEFN0112-2,B,riviera,2026-02-20
BEFN0112-2,B,riviera,2026-02-09
BEFN0112-2,B,riviera,2026-02-15
BEFN0112-2,B,riviera,2026-02-23
BEFN0112-2,B,riviera,2026-02-21
BEFN0112-2,B,riviera,2026-02-22
BEFN0112-2,B,riviera,2026-02-10
BEFN0112-2,B,riviera,2026-02-17
BEFN0112-2,B,riviera,2026-02-12
BEFN0112-2,B,riviera,2026-02-14
BEFN0112-2,B,riviera,2026-02-08
BEFN0112-2,B,riviera,2026-02-07
BEFN0112-2,B,riviera,2026-02-11
BEFN0113-1,B,riviera,2026-02-21
BEFN0113-1,B,riviera,2026-02-12
BEFN0113-1,B,riviera,2026-02-23
BEFN0113-1,B,riviera,2026-02-13
BEFN0113-1,B,riviera,2026-02-18
BEFN0113-1,B,riviera,2026-02-11
BEFN0113-1,B,riviera,2026-02-15
BEFN0113-1,B,riviera,2026-02-17
BEFN0113-1,B,riviera,2026-02-14
BEFN0113-1,B,riviera,2026-02-07
BEFN0113-1,B,riviera,2026-02-10
BEFN0113-1,B,riviera,2026-02-20
BEFN0113-1,B,riviera,2026-02-08
BEFN0113-1,B,riviera,2026-02-16
BEFN0113-1,B,riviera,2026-02-09
BEFN0113-1,B,riviera,2026-02-19
BEFN0113-1,B,riviera,2026-02-22
BSI0003,A,riviera,2026-02-11
BSI0003,A,riviera,2026-02-16
BSI0003,A,riviera,2026-02-20
BSI0003,A,riviera,2026-02-18
BSI0003,A,riviera,2026-02-17
BSI0003,A,riviera,2026-02-21
BSI0003,A,riviera,2026-02-07
BSI0003,A,riviera,2026-02-15
BSI0003,A,riviera,2026-02-13
BSI0003,A,riviera,2026-02-12
BSI0003,A,riviera,2026-02-19
BSI0003,A,riviera,2026-02-10
BSI0003,A,riviera,2026-02-14
BSI0003,A,riviera,2026-02-09
BSI0003,A,riviera,2026-02-23
BSI0003,A,riviera,2026-02-22
BSI0003,A,riviera,2026-02-08
BSN0001,A,riviera,2026-02-08
BSN0001,A,riviera,2026-02-16
BSN0001,A,riviera,2026-02-19
BSN0001,A,riviera,2026-02-14
BSN0001,A,riviera,2026-02-13
BSN0001,A,riviera,2026-02-09
BSN0001,A,riviera,2026-02-17
BSN0001,A,riviera,2026-02-23
BSN0001,A,riviera,2026-02-22
BSN0001,A,riviera,2026-02-07
BSN0001,A,riviera,2026-02-15
BSN0001,A,riviera,2026-02-12
BSN0001,A,riviera,2026-02-20
BSN0001,A,riviera,2026-02-11
BSN0001,A,riviera,2026-02-10
BSN0001,A,riviera,2026-02-18
BSN0001,A,riviera,2026-02-21
BSN0002,C,riviera,2026-02-09
BSN0002,C,riviera,2026-02-18
BSN0002,C,riviera,2026-02-23
BSN0002,C,riviera,2026-02-15
BSN0002,C,riviera,2026-02-13
BSN0002,C,riviera,2026-02-08
BSN0002,C,riviera,2026-02-14
BSN0002,C,riviera,2026-02-07
BSN0002,C,riviera,2026-02-17
BSN0002,C,riviera,2026-02-11
BSN0002,C,riviera,2026-02-21
BSN0002,C,riviera,2026-02-19
BSN0002,C,riviera,2026-02-16
BSN0002,C,riviera,2026-02-20
BSN0002,C,riviera,2026-02-12
BSN0002,C,riviera,2026-02-10
BSN0002,C,riviera,2026-02-22
BSN0014,C,riviera,2026-02-15
BSN0014,C,riviera,2026-02-17
BSN0014,C,riviera,2026-02-21
BSN0014,C,riviera,2026-02-20
BSN0014,C,riviera,2026-02-10
BSN0014,C,riviera,2026-02-11
BSN0014,C,riviera,2026-02-14
BSN0014,C,riviera,2026-02-23
BSN0014,C,riviera,2026-02-08
BSN0014,C,riviera,2026-02-07
BSN0014,C,riviera,2026-02-09
BSN0014,C,riviera,2026-02-12
BSN0014,C,riviera,2026-02-18
BSN0014,C,riviera,2026-02-19
BSN0014,C,riviera,2026-02-22
BSN0014,C,riviera,2026-02-13
BSN0014,C,riviera,2026-02-16
